Feature,Coefficient,Intercept
Gender,-0.14968586832932035,-0.31784759500999615
Age,0.010311659375891848,-0.31784759500999615
Married,-0.07671294344195292,-0.31784759500999615
State,-0.021134667549478972,-0.31784759500999615
Number_of_Referrals,-0.007342326047775197,-0.31784759500999615
Tenure_in_Months,-0.011062724477173384,-0.31784759500999615
Value_Deal,-0.001983470585713999,-0.31784759500999615
Phone_Service,-0.2684630769249057,-0.31784759500999615
Multiple_Lines,0.013013915297805725,-0.31784759500999615
Internet_Service,-0.02903438731543161,-0.31784759500999615
Internet_Type,-0.10570833464988011,-0.31784759500999615
Online_Security,-0.6293740545013217,-0.31784759500999615
Online_Backup,-0.29251803563670764,-0.31784759500999615
Device_Protection_Plan,-0.17900976883014222,-0.31784759500999615
Premium_Support,-0.5386774606456146,-0.31784759500999615
Streaming_TV,0.032083319193186605,-0.31784759500999615
Streaming_Movies,0.12578234990219242,-0.31784759500999615
Streaming_Music,0.022598108354006108,-0.31784759500999615
Unlimited_Data,-0.09019838381958362,-0.31784759500999615
Contract,-1.5598608402757654,-0.31784759500999615
Paperless_Billing,0.22671601337038633,-0.31784759500999615
Payment_Method,-0.19348605635031949,-0.31784759500999615
Monthly_Charge,0.026138022342862163,-0.31784759500999615
Total_Charges,-0.0029507402230516374,-0.31784759500999615
Total_Refunds,-0.012015288402227564,-0.31784759500999615
Total_Extra_Data_Charges,-0.0032294114679820483,-0.31784759500999615
Total_Long_Distance_Charges,-0.0030837381999096196,-0.31784759500999615
Total_Revenue,0.002751398511385849,-0.31784759500999615
